adobe-source-han-sans-otc-fonts 1.001-1
aircrack-ng 1.2rc1-1
alsa-utils 1.0.29-1
android-tools 5.0.2_r1-1
apache-flex-sdk 4.14.0-1
apache-tools 2.4.10-1
archlinuxcn-keyring 20141118-1
aria2 1.18.10-1
autoconf 2.69-2
automake 1.15-1
axel 2.4-4
badvpn 1.999.129-2
bash 4.3.033-1
bbcp-git 20140718-1
binutils 2.25-2
bison 3.0.4-1
burpsuite 1.6-2
bzip2 1.0.6-5
ccache 3.2.1-1
chromium 41.0.2272.101-1
cloc 1.62-1
cmake 3.2.1-1
compton-git 0.1_beta2.66.g5a00ada-1
coreutils 8.23-1
create_ap r127.56b1553-1
cryptsetup 1.6.6-1
cups-pdf 2.6.1-2
device-mapper 2.02.116-1
dhcpcd 6.8.0-1
dialog 1:1.2_20150225-1
diffutils 3.3-2
dmidecode 2.12-2
dnsutils 9.9.2.P2-2
docker 1:1.5.0-1
downgrade 5.1.3-1
droopy-git r115.b7b0bb9-1
dunst 1.1.0-1
duplicity 0.7.02-1
e2fsprogs 1.42.12-2
easy-rsa 2.2.2-2
elinks 0.13-15
eog 3.14.3-1
erlang 17.4-1
ethtool 1:3.18-1
evince 3.14.2-1
fakeroot 1.20.2-1
fcitx 4.2.8.6-1
fcitx-configtool 0.4.8-1
fcitx-gtk2 4.2.8.6-1
fcitx-gtk3 4.2.8.6-1
fcitx-qt4 4.2.8.6-1
fcitx-qt5 1.0.1-1
fcitx-rime 0.3.1-2
ffmpeg 1:2.6.1-1
file 5.22-1
filesystem 2015.02-1
findutils 4.4.2-6
firefox 36.0.4-1
flex 2.5.39-1
gawk 4.1.1-1
gdb 7.9-1
gedit 3.14.3-1
gettext 0.19.4-1
gimp 2.8.14-1
git 2.3.4-1
glibc 2.21-2
gnu-netcat 0.7.1-5
go-mtpfs-git 20150119-1
google-chrome 41.0.2272.101-1
google-cloud-sdk 0.9.51-1
google-earth 7.1.2.2041-2
graphviz 2.38.0-3
grep 2.21-2
grub 1:2.02.beta2-5
gzip 1.6-1
hostapd 2.4-2
hplip 3.15.2-3
hplip-plugin 3.15.2-1
htop 1.0.3-2
http_load 2014.8.14-1
httpie 0.9.2-1
imagemagick 6.9.1.0-1
inetutils 1.9.2-2
intel-gpu-tools 1.10-2
iodine 0.7.0-3
iotop 0.6-2
iperf 2.0.5-8
iproute2 3.19.0-1
iputils 20121221-3
ipython2 3.0.0-4
irssi 0.8.17-1
iw 3.17-1
jdk 8u40-1
jdk7 7.76-1
jdk7-openjdk 7.u75_2.5.4-1
jfsutils 1.1.15-4
jq-git 1.5rc1.42.gffa2832-1
konsole 14.12.3-1
less 471-1
lib32-fcitx 4.2.8.3-1
lib32-fcitx-gtk2 4.2.8.3-1
lib32-fcitx-qt4 4.2.8.3-1
lib32-lcms2 2.6-1
lib32-mesa 10.5.2-1
libnotify 0.7.6-1
libreoffice-fresh 4.4.1-2
libtool 2.4.6-1
libva-intel-driver 1.5.0-1
libx32-flex 2.5.39-1
licenses 20140629-1
linux 3.19.2-1
linux-headers 3.19.2-1
llvm 3.6.0-3
lm_sensors 3.3.5-1
logrotate 3.8.9-1
ltrace 0.7.3-1
lvm2 2.02.116-1
m4 1.4.17-1
make 4.1-1
man-db 2.7.1-1
man-pages 3.81-1
mariadb 10.0.17-2
mariadb-clients 10.0.17-2
mcelog 20140327-1
mdadm 3.3.2-1
miniupnpc 1.9.20141027-1
miredo 1.2.6-3
mongodb 2.6.8-1
mosh 1.2.4-3
mplayer 37379-1
mpv 0.8.3-1
mtpfs 1.1-2
mtr 0.86-1
